timestamp,date,symbol,name,side,shares,price,fee,avg_cost_before,realized_pnl,realized_pnl_pct,cash_after
2026-05-08T15:00:00+08:00,2026-05-08,300476.SZ,胜宏科技,buy,400.0,358.66,35.866,,,,19227.80517226705
2026-05-08T15:00:00+08:00,2026-05-08,600498.SS,烽火通信,buy,2000.0,57.0,28.5,,,,162727.67117226706
2026-05-08T15:00:00+08:00,2026-05-08,002281.SZ,光迅科技,buy,800.0,180.72,36.144,,,,276756.17117226706
2026-05-08T15:00:00+08:00,2026-05-08,603618.SS,杭电股份,sell,1000.0,37.619998931884766,9.404999732971191,36.529129999999995,1081.463932151797,2.9605521186839026,421368.31517226703
2026-05-08T15:00:00+08:00,2026-05-08,600396.SS,华电辽能,sell,6000.0,12.449999809265137,18.674999713897705,12.863214999999999,-2497.966144123071,-3.2365756981219587,383757.72124011524
2026-05-08T15:00:00+08:00,2026-05-08,600487.SS,亨通光电,sell,400.0,77.19999694824219,7.719999694824219,71.81795000000001,2145.0987796020454,7.467140107737846,309076.3973842383
2026-05-08T15:00:00+08:00,2026-05-08,002384.SZ,东山精密,sell,400.0,210.6999969482422,21.06999969482422,211.12276749999998,-190.17822039793828,-0.22519861624817217,278204.1186046363
2026-05-08T15:00:00+08:00,2026-05-08,002050.SZ,三花智控,sell,200.0,51.72999954223633,2.5864999771118167,52.453109999999995,-147.20859152984485,-1.4032398796739112,193945.1898250342
2026-05-08T15:00:00+08:00,2026-05-08,688008.SS,澜起科技,sell,100.0,208.6199951171875,5.2154998779296875,209.96247749999998,-139.46373815917832,-0.6642317228285627,183601.77641656404
2026-05-08T15:00:00+08:00,2026-05-08,002050.SZ,三花智控,buy,200.0,52.44,2.622,,,,162744.99240472322
2026-05-08T15:00:00+08:00,2026-05-08,601991.SS,大唐发电,buy,2000.0,5.53,2.765,,,,173235.61440472322
2026-05-08T15:00:00+08:00,2026-05-08,601868.SS,中国能建,sell,10000.0,3.1600000858306885,7.900000214576721,3.2508125,-916.024141907692,-2.817831363413583,184298.37940472324
2026-05-08T15:00:00+08:00,2026-05-08,600487.SS,亨通光电,sell,200.0,76.80000305175781,3.8400001525878906,71.81795000000001,992.5706101989726,6.910324022051399,152706.27854663093
2026-05-08T15:00:00+08:00,2026-05-08,688008.SS,澜起科技,sell,100.0,209.33999633789062,5.233499908447266,209.96247749999998,-67.48161611938485,-0.32139845615693335,137350.11793643195
2026-05-08T15:00:00+08:00,2026-05-08,002384.SZ,东山精密,sell,200.0,206.89999389648438,10.344999694824219,211.12276749999998,-854.8997203979452,-2.024650705656237,116421.35180255133
2026-05-08T15:00:00+08:00,2026-05-08,603618.SS,杭电股份,buy,1000.0,36.52,9.13,,,,75051.69802294928
2026-05-08T15:00:00+08:00,2026-05-08,600396.SS,华电辽能,buy,6000.0,12.86,19.29,,,,111580.82802294927
2026-05-08T15:00:00+08:00,2026-05-08,601868.SS,中国能建,buy,20000.0,3.25,16.25,,,,188760.11802294926
2026-05-08T15:00:00+08:00,2026-05-08,600487.SS,亨通光电,sell,500.0,77.38,9.6725,71.81795000000001,2771.3524999999936,7.717715417942153,253776.36802294926
2026-05-08T15:00:00+08:00,2026-05-08,002436.SZ,兴森科技,sell,800.0,32.07,6.414,31.80795,203.22599999999875,0.7986446784530233,215096.04052294925
2026-05-08T15:00:00+08:00,2026-05-08,688313.SS,仕佳光子,sell,500.0,164.59,20.57375,158.80569443041995,2871.579034790033,3.616468597161298,189446.45452294924
2026-05-08T15:00:00+08:00,2026-05-08,688313.SS,仕佳光子,buy,200.0,170.07000732421875,8.503500366210938,151.2678075,,,107172.02827294922
2026-05-08T15:00:00+08:00,2026-05-08,002436.SZ,兴森科技,sell,200.0,32.41999816894531,1.6209999084472657,31.80795,120.78863388061473,1.8987176771941405,141194.53323815917
2026-05-08T15:00:00+08:00,2026-05-08,000988.SZ,华工科技,sell,200.0,133.47999572753906,6.673999786376953,132.20304249999998,248.71664572144073,0.9406615801653763,134712.15460427856
2026-05-08T15:00:00+08:00,2026-05-08,002384.SZ,东山精密,sell,100.0,211.07000732421875,5.276750183105469,211.12276749999998,-10.552767761226278,-0.049984034816265274,108022.82945855713
2026-05-07T15:00:00+08:00,2026-05-07,688008.SS,澜起科技,buy,200.0,209.91,10.4955,,,,86921.10547631836
2026-05-07T15:00:00+08:00,2026-05-07,600522.SS,中天科技,buy,1000.0,38.38,9.595,,,,128913.60097631835
2026-05-07T15:00:00+08:00,2026-05-07,002384.SZ,东山精密,buy,700.0,211.07,36.93725,,,,167303.19597631835
2026-05-07T15:00:00+08:00,2026-05-07,688525.SS,佰维存储,sell,100.0,299.80999755859375,7.495249938964844,311.19778,-1146.2734940795926,-3.683424393578876,315089.13322631834
2026-05-07T15:00:00+08:00,2026-05-07,002149.SZ,西部材料,sell,500.0,73.80999755859375,9.226249694824219,74.33858000000001,-273.5174703979501,-0.7358695051693215,285115.62872039794
2026-05-07T15:00:00+08:00,2026-05-07,000988.SZ,华工科技,buy,200.0,132.17,6.608499999999999,,,,248219.85619079586
2026-05-07T15:00:00+08:00,2026-05-07,002436.SZ,兴森科技,buy,1000.0,31.8,7.95,,,,274660.46469079587
2026-05-07T15:00:00+08:00,2026-05-07,002149.SZ,西部材料,buy,500.0,74.32,9.290000000000001,,,,306468.4146907959
2026-05-07T15:00:00+08:00,2026-05-07,688313.SS,仕佳光子,sell,200.0,157.6300048828125,7.881500244140625,151.2678075,1264.5579763183596,4.179864827876082,343637.70469079586
2026-05-07T15:00:00+08:00,2026-05-07,688525.SS,佰维存储,sell,200.0,300.3999938964844,15.01999969482422,311.19778,-2174.5772203979504,-3.4938829261538276,312119.5852144775
2026-05-07T15:00:00+08:00,2026-05-07,603986.SS,兆易创新,sell,200.0,344.8500061035156,17.24250030517578,344.3760725,77.54422039794736,0.11258653923748921,252054.60643487543
2026-05-07T15:00:00+08:00,2026-05-07,688313.SS,仕佳光子,sell,100.0,151.25,3.78125,151.2678075,-5.561999999999898,-0.036769224674588465,183101.84771447748
2026-05-07T15:00:00+08:00,2026-05-07,603986.SS,兆易创新,sell,100.0,344.2900085449219,8.607250213623047,344.3760725,-17.213645721436478,-0.04998502246823922,167980.62896447748
2026-05-07T15:00:00+08:00,2026-05-07,600487.SS,亨通光电,sell,200.0,71.80000305175781,3.5900001525878906,71.81795000000001,-7.179389801027355,-0.049983254889810654,133560.23536019892
2026-05-06T15:00:00+08:00,2026-05-06,688313.SS,仕佳光子,buy,600.0,151.23,22.6845,,,,119203.82474999994
2026-05-06T15:00:00+08:00,2026-05-06,600487.SS,亨通光电,buy,1300.0,71.8,23.335,,,,209964.50924999994
2026-05-06T15:00:00+08:00,2026-05-06,603986.SS,兆易创新,buy,300.0,344.29,25.82175,,,,303327.84424999997
2026-05-06T15:00:00+08:00,2026-05-06,688525.SS,佰维存储,buy,300.0,311.12,23.334,,,,406640.66599999997
